"visit_date","time_spent_homepage_sec","clicked_article","clicked_like","clicked_share"
2017-01-01,41.4139527318307,0,0,0
2017-01-01,64.8943190547285,0,0,0
2017-01-01,48.7457885812365,1,0,0
2017-01-01,59.6205716192623,0,0,0
2017-01-01,56.2194183374682,1,0,0
2017-01-01,72.1856681042447,1,1,0
2017-01-01,58.8480812387798,1,0,0
2017-01-01,53.2297414798549,1,0,0
2017-01-01,72.1756104386139,1,0,0
2017-01-01,61.1509890199436,0,0,0
2017-01-01,58.165923161818,1,0,0
2017-01-01,67.2423066867992,0,1,0
2017-01-01,78.8344867857542,0,0,0
2017-01-01,72.3650348849888,0,1,0
2017-01-01,43.9094657501027,0,1,0
2017-01-01,55.2524798496579,0,0,0
2017-01-01,43.2950108820791,0,0,0
2017-01-01,65.7590043137606,1,1,0
2017-01-01,65.5027822979447,1,0,0
2017-01-01,54.124924449656,0,0,1
2017-01-01,61.0199003220104,0,0,0
2017-01-01,46.6306800685085,1,1,0
2017-01-01,53.8832928333604,0,0,0
2017-01-01,59.3730883679139,1,0,0
2017-01-01,51.375034397167,0,0,0
2017-01-01,58.8604669049187,1,0,0
2017-01-01,66.6140583348776,1,0,0
2017-01-01,72.5179781470232,0,0,0
2017-01-01,57.5522491795599,0,0,0
2017-01-01,52.6957722501763,0,0,0
2017-01-01,53.0728436182249,0,1,0
2017-01-01,71.5781740053044,0,0,0
2017-01-01,67.399382578314,1,0,0
2017-01-01,88.0468086299963,1,1,0
2017-01-01,35.424047655688,0,1,0
2017-01-01,38.666548010451,0,0,0
2017-01-01,73.9685867888847,1,0,0
2017-01-01,50.0344263641562,0,0,0
2017-01-01,56.9463911646104,1,0,0
2017-01-01,70.4851354640141,0,0,0
2017-01-01,66.8935290514035,1,1,0
2017-01-01,57.3937382377159,1,0,0
2017-01-01,44.9284788475683,0,0,0
2017-01-01,33.7024264120561,1,0,0
2017-01-01,59.5976353085486,1,0,0
2017-01-01,61.3842786080415,1,0,0
2017-01-01,70.6428998375266,0,0,0
2017-01-01,50.4785027174757,0,0,1
2017-01-01,56.2080208230333,0,0,0
2017-01-01,57.8276126540824,0,0,0
2017-01-01,68.8066365004798,1,0,0
2017-01-01,66.6536198500537,0,0,0
2017-01-01,62.0978284071801,0,1,0
2017-01-01,59.1198341597807,1,0,0
2017-01-01,69.6497358355525,1,0,0
2017-01-01,43.3009810914455,1,0,0
2017-01-01,60.1835123168474,0,0,0
2017-01-01,60.91506636663,0,1,0
2017-01-01,37.6455295092286,0,0,0
2017-01-01,69.6580621505274,0,0,0
2017-01-01,71.2066584695689,1,0,0
2017-01-01,61.4016473422782,0,0,0
2017-01-01,75.857583510249,1,0,0
2017-01-01,52.236283406741,0,1,0
2017-01-01,67.5446548271263,1,1,0
2017-01-01,54.0396346483621,0,1,0
2017-01-01,52.8769707492118,1,1,0
2017-01-01,72.2936757470422,1,0,0
2017-01-01,56.2575582199894,1,0,0
2017-01-01,73.3078105918792,0,1,0
2017-01-01,64.1010831660483,0,1,0
2017-01-01,57.9662145380991,1,0,0
2017-01-01,58.0337890023957,0,1,0
2017-01-01,63.267660842959,1,0,0
2017-01-01,65.1477005542861,1,0,0
2017-01-01,38.5841426482657,0,1,0
2017-01-01,49.3638923782975,0,0,0
2017-01-01,46.6088100255385,1,1,0
2017-01-01,41.2218289714445,1,1,0
2017-01-01,50.5224670092284,0,0,0
2017-01-01,69.8550991028878,1,0,0
2017-01-01,62.8286229832806,1,0,0
2017-01-01,52.4032668340411,1,0,0
2017-01-01,43.1218454914589,0,1,0
2017-01-01,56.4977928692635,1,0,0
2017-01-01,55.4663612633538,0,0,0
2017-01-01,45.3164780457251,1,1,0
2017-01-01,51.2003639803955,0,1,0
2017-01-01,48.4833685183017,1,0,0
2017-01-01,63.9090589192144,0,0,0
2017-01-01,59.2342353691618,1,1,0
2017-01-01,64.727766556892,0,0,0
2017-01-01,50.6291881929044,0,0,0
2017-01-01,68.2487307702714,1,0,0
2017-01-01,63.4656993734093,1,0,0
2017-01-01,55.9664240866013,0,0,0
2017-01-01,45.2815512074402,0,0,0
2017-01-01,63.787842065869,1,0,0
2017-01-01,76.2821654432956,1,0,1
2017-01-01,63.2027747901817,1,1,0
2017-01-01,58.0316980466484,0,0,1
2017-01-01,57.7462731320929,1,0,1
2017-01-01,52.70083590904,0,1,1
2017-01-01,63.2170011760887,0,0,0
2017-01-01,56.2716596387304,0,0,0
2017-01-01,67.4129877040068,1,0,0
2017-01-01,56.9926206953673,0,1,0
2017-01-01,55.9282528363818,0,0,0
2017-01-01,57.8774500847683,0,0,0
2017-01-01,57.3945362648935,1,0,0
2017-01-01,63.5462681172108,1,0,0
2017-01-01,60.0572721203575,0,0,0
2017-01-01,56.5972610097489,1,1,0
2017-01-01,67.4626796431193,0,0,0
2017-01-01,60.3172252099056,0,0,0
2017-01-01,78.6333021500235,1,0,0
2017-01-01,57.7421234152175,0,0,0
2017-01-01,72.7321487737742,0,0,0
2017-01-01,71.7045178398919,1,0,0
2017-01-01,59.6682665419106,1,0,0
2017-01-01,41.2554103124099,0,0,0
2017-01-01,46.1987478835128,1,0,0
2017-01-01,67.0578556248803,1,1,0
2017-01-01,47.4861067330685,1,0,0
2017-01-01,45.0625515884256,0,0,0
2017-01-01,75.0292327467948,0,0,1
2017-01-01,49.7496688880036,0,0,0
2017-01-01,44.3755862940592,1,0,0
2017-01-01,49.1604212962451,0,0,0
2017-01-01,45.2158746184689,1,0,0
2017-01-01,66.4437264549772,1,0,0
2017-01-01,58.3711520774737,0,0,0
2017-01-01,50.4536587678704,1,1,0
2017-01-01,52.1209708373625,1,1,0
2017-01-01,69.6011091248198,1,0,0
2017-01-01,54.3703867784754,0,0,0
2017-01-01,99.7405840849065,0,1,0
2017-01-01,63.4794936182753,0,0,0
2017-01-01,78.6821123053284,0,0,1
2017-01-01,44.6980285978155,0,0,0
2017-01-01,61.6516461874055,1,1,0
2017-01-01,54.5968338690486,1,0,0
2017-01-01,50.8609499698248,1,0,0
2017-01-01,47.5562142768081,0,0,0
2017-01-01,52.4725561387975,0,0,0
2017-01-01,48.855818648877,0,0,0
2017-01-01,53.0633543171146,1,0,0
2017-01-01,69.0058421864087,1,0,0
2017-01-01,67.4337565871115,1,0,0
2017-01-01,40.3098356014682,0,0,0
2017-01-01,71.0560020252341,1,1,0
2017-01-01,39.4700479922163,1,1,0
2017-01-01,36.2197748189564,0,1,0
2017-01-01,59.8059849381854,1,0,0
2017-01-01,43.7484457186584,0,1,1
2017-01-01,43.3530928810959,0,1,0
2017-01-01,52.2420353686223,1,0,0
2017-01-01,76.7463813652805,1,0,0
2017-01-01,59.5026134791345,0,0,1
2017-01-01,47.9710330445043,1,0,0
2017-01-01,39.3938183193836,0,0,0
2017-01-01,61.5449451382218,1,0,0
2017-01-01,54.3414408669425,0,0,0
2017-01-01,62.5576720823349,1,0,0
2017-01-01,48.9935554083115,0,1,0
2017-01-01,53.1777999841336,1,1,0
2017-01-01,65.0412270750215,1,0,0
2017-01-01,70.2969463614492,1,1,0
2017-01-01,59.7953372400039,1,0,0
2017-01-01,58.533031948277,0,0,0
2017-01-01,62.1127023603875,1,1,0
2017-01-01,72.465774108598,1,0,0
2017-01-01,50.8059672218474,1,0,0
2017-01-01,38.1915416946257,1,0,0
2017-01-01,37.9373132048377,1,0,0
2017-01-01,75.0301110574755,1,0,0
2017-01-01,54.8313885159513,0,0,0
2017-01-01,60.9214840860195,0,0,0
2017-01-01,51.6244392813305,1,1,0
2017-01-01,53.1589156039526,1,1,0
2017-01-01,58.4523467824775,0,0,0
2017-01-01,67.0124135122196,1,0,0
2017-01-01,68.0846822221197,0,0,0
2017-01-01,46.0577547001686,0,0,0
2017-01-01,28.7867677746365,0,0,0
2017-01-01,54.4267910683841,0,0,0
2017-01-01,42.7376951676264,1,0,0
2017-01-01,79.4553331631298,0,1,0
2017-01-01,51.8574753159835,0,0,0
2017-01-01,76.9547387291121,0,1,0
2017-01-01,62.4947143891791,0,0,0
2017-01-01,64.9692468634788,0,0,1
2017-01-01,55.0784800770277,1,0,0
2017-01-01,57.7326936053198,1,0,0
2017-01-01,61.5156351740215,1,0,0
2017-01-01,62.8642231300153,1,1,0
2017-01-01,67.9386748907884,0,0,0
2017-01-01,55.3964231867476,0,0,0
2017-01-01,65.3632452559828,0,1,0
2017-01-01,56.928551063139,0,0,0
2017-01-01,62.9820608664049,1,0,0
2017-01-01,69.7527553048988,0,0,0
2017-01-01,48.4228926428474,0,1,0
2017-01-01,65.7841217649479,1,0,0
2017-01-01,57.783363582755,0,1,0
2017-01-01,54.5789455537128,0,0,0
2017-01-01,46.8298528607831,0,0,0
2017-01-01,61.9743743482124,0,0,1
2017-01-01,65.5802766805245,0,0,0
2017-01-01,60.9576282667379,0,0,0
2017-01-01,47.4044911326439,1,0,0
2017-01-01,48.511665515513,0,0,0
2017-01-01,47.7649988174974,0,1,0
2017-01-01,51.5298214327184,0,0,0
2017-01-01,64.36898433303,1,0,0
2017-01-01,55.3746908878525,0,1,0
2017-01-01,67.200630597204,0,0,0
2017-01-01,63.0535460593709,1,0,0
2017-01-01,63.1515211589355,1,0,0
2017-01-01,67.0470163516809,1,0,0
2017-01-01,59.0216363815343,0,0,0
2017-01-01,56.0832280947398,0,0,0
2017-01-01,64.2213744012576,1,0,0
2017-01-01,63.1474382200861,1,0,0
2017-01-01,68.5410087246077,1,0,0
2017-01-01,51.9137623400876,0,0,0
2017-01-01,59.3733468906566,1,0,0
2017-01-01,57.6540951701423,0,0,0
2017-01-01,64.9597807598499,0,1,0
2017-01-01,44.0998385867815,1,0,0
2017-01-01,56.0580847461097,1,0,0
2017-01-01,51.388329082334,0,0,0
2017-01-01,65.6390834488639,1,0,0
2017-01-01,40.899666628028,0,1,0
2017-01-01,49.6360629275964,1,0,0
2017-01-01,63.2632419522392,0,0,0
2017-01-01,65.1209472140037,1,0,0
2017-01-01,55.7413572832091,1,0,0
2017-01-01,81.7581912774536,1,0,0
2017-01-01,53.4394029268414,1,0,0
2017-01-01,70.4256381931416,1,0,0
2017-01-01,68.2519243159029,1,0,0
2017-01-01,69.7728553510877,1,0,0
2017-01-01,72.1606025087911,1,0,0
2017-01-01,52.0845619457344,0,1,0
2017-01-01,61.9327259832058,1,0,0
2017-01-01,63.1160581131096,0,0,0
2017-01-01,57.035384950141,0,0,0
2017-01-01,65.7119122413889,0,0,0
2017-01-01,56.7108502710678,1,0,0
2017-01-01,55.3246400564436,1,0,0
2017-01-01,75.5958352191427,0,1,0
2017-01-01,65.8285225511556,0,0,0
2017-01-01,45.5350212038775,0,0,0
2017-01-01,69.5075878381594,1,1,0
2017-01-01,68.3118522854099,0,0,0
2017-01-01,71.98283043462,1,0,0
2017-01-01,89.2962360376016,0,0,0
2017-01-01,52.2104983404814,0,0,0
2017-01-01,55.4103483165583,1,0,0
2017-01-01,56.7110055818253,1,1,0
2017-01-01,53.8899635578432,0,0,0
2017-01-01,57.471321488634,1,0,0
2017-01-01,59.1742145662473,0,1,0
2017-01-01,55.2813898702727,1,0,0
2017-01-01,38.3274181643898,1,0,0
2017-01-01,68.0415541334034,0,0,1
2017-01-01,65.2831687918382,0,0,0
2017-01-01,77.0608273803338,1,0,0
2017-01-01,55.7700362533394,0,1,1
