"visit_date","condition","time_spent_homepage_sec","clicked_article","clicked_like","clicked_share","article_published"
2018-02-01,"tips",58.1221337909871,1,0,0,"no"
2018-02-01,"tips",61.3582791830502,1,0,0,"no"
2018-02-01,"tips",59.7512836971184,0,1,0,"no"
2018-02-01,"tips",59.6223632261169,1,0,0,"no"
2018-02-01,"tips",60.7306426892472,0,0,0,"no"
2018-02-01,"tips",59.3370267107107,1,0,0,"no"
2018-02-01,"tips",57.8113094607434,1,0,0,"no"
2018-02-01,"tips",59.408914844129,0,0,0,"no"
2018-02-01,"tips",60.0334653990524,0,0,0,"no"
2018-02-01,"tips",60.645036683535,1,0,0,"no"
2018-02-01,"tips",59.2100592957164,1,0,0,"no"
2018-02-01,"tips",59.1901383751326,1,0,0,"no"
2018-02-01,"tips",60.3612990697976,1,0,0,"no"
2018-02-01,"tips",59.7791007395841,1,0,0,"no"
2018-02-01,"tips",61.8638101526456,1,0,0,"no"
2018-02-01,"tips",59.8034822634954,0,0,0,"no"
2018-02-01,"tips",58.4339757528569,0,0,0,"no"
2018-02-01,"tips",59.4832007550329,0,0,0,"no"
2018-02-01,"tips",60.1754148549263,1,0,0,"no"
2018-02-01,"tips",61.4851725865929,1,0,0,"no"
2018-02-01,"tips",59.5850502196832,0,0,0,"no"
2018-02-01,"tips",58.1514310979784,0,1,0,"no"
2018-02-01,"tips",60.5773713355397,0,0,0,"no"
2018-02-01,"tips",60.0596653933696,1,0,0,"no"
2018-02-01,"tips",60.4208457148553,1,0,0,"no"
2018-02-01,"tips",58.4892212745352,1,0,0,"no"
2018-02-01,"tips",58.3440852358975,0,1,0,"no"
2018-02-01,"tips",59.4021200117512,1,0,0,"no"
2018-02-01,"tips",59.5002043152806,1,0,0,"no"
2018-02-01,"tips",60.0576896980664,1,1,0,"no"
2018-02-01,"tips",61.2983953480542,1,0,0,"no"
2018-02-01,"tips",59.1683562359658,0,0,0,"no"
2018-02-01,"tips",60.0225994156393,1,0,0,"no"
2018-02-01,"tips",60.3730975756728,0,0,0,"no"
2018-02-01,"tips",61.8466009870665,0,0,0,"no"
2018-02-01,"tips",60.5097159443989,1,0,0,"no"
2018-02-01,"tips",60.0910254615798,0,0,0,"no"
2018-02-01,"tips",60.4667427463133,0,0,0,"no"
2018-02-01,"tips",59.2697914213476,1,0,0,"no"
2018-02-01,"tips",59.1040101727982,1,0,0,"no"
2018-02-01,"tips",59.8104463033381,1,0,0,"no"
2018-02-01,"tips",58.8037910638151,1,1,0,"no"
2018-02-01,"tips",60.1463144960852,0,0,0,"no"
2018-02-01,"tips",60.8685813512672,0,0,0,"no"
2018-02-01,"tips",59.7163762952416,0,0,0,"no"
2018-02-01,"tips",59.9769062534382,1,0,0,"no"
2018-02-01,"tips",59.3477724845604,0,0,0,"no"
2018-02-01,"tips",57.9777988617785,1,1,0,"no"
2018-02-01,"tips",59.2607719640115,1,0,0,"no"
2018-02-01,"tips",61.716609417066,1,0,0,"no"
2018-02-01,"tips",59.2574579778053,1,0,0,"no"
